Topic,Characteristics,Note,Total,Flag_Total,Male,Flag_Male,Female,Flag_Female,Total,Flag_Total,Male,Flag_Male,Female,Flag_Female
Knowledge of languages,          Cushitic languages; n.i.e.,NA,65,NA,25,,40,,65,NA,25,,40,
Knowledge of languages,        Semitic languages,NA,84510,NA,42935,,41580,,84510,NA,42935,,41580,
Knowledge of languages,          Amharic,NA,9560,NA,4445,,5120,,9560,NA,4445,,5120,
Knowledge of languages,          Arabic,NA,47885,NA,25005,,22890,,47885,NA,25005,,22890,
Knowledge of languages,          Assyrian Neo-Aramaic,NA,5930,NA,2865,,3065,,5930,NA,2865,,3065,
Knowledge of languages,          Chaldean Neo-Aramaic,NA,680,NA,335,,350,,680,NA,335,,350,
Knowledge of languages,          Harari,NA,945,NA,480,,465,,945,NA,480,,465,
Knowledge of languages,          Hebrew,NA,18860,NA,9555,,9315,,18860,NA,9555,,9315,
Knowledge of languages,          Maltese,NA,1860,NA,910,,950,,1860,NA,910,,950,
Knowledge of languages,          Tigrigna,NA,5150,NA,2425,,2725,,5150,NA,2425,,2725,
Knowledge of languages,          Semitic languages; n.i.e.,NA,465,NA,255,,205,,465,NA,255,,205,
Knowledge of languages,        Afro-Asiatic languages; n.i.e.,NA,370,NA,180,,185,,370,NA,180,,185,
Knowledge of languages,      Austro-Asiatic languages,NA,33965,NA,15600,,18360,,33965,NA,15600,,18360,
Knowledge of languages,        Khmer (Cambodian),NA,2020,NA,850,,1170,,2020,NA,850,,1170,
Knowledge of languages,        Vietnamese,NA,32165,NA,14870,,17295,,32165,NA,14870,,17295,
Knowledge of languages,        Austro-Asiatic languages; n.i.e.,NA,10,NA,0,,10,,10,NA,0,,10,
Knowledge of languages,      Austronesian languages,NA,128075,NA,50505,,77570,,128075,NA,50505,,77570,
Knowledge of languages,        Bikol,NA,385,NA,175,,210,,385,NA,175,,210,
Knowledge of languages,        Cebuano,NA,4685,NA,1865,,2830,,4685,NA,1865,,2830,
Knowledge of languages,        Fijian,NA,10,NA,0,,10,,10,NA,0,,10,
Knowledge of languages,        Hiligaynon,NA,1810,NA,730,,1070,,1810,NA,730,,1070,
Knowledge of languages,        Ilocano,NA,9550,NA,3780,,5770,,9550,NA,3780,,5770,
Knowledge of languages,        Malagasy,NA,55,NA,20,,35,,55,NA,20,,35,
Knowledge of languages,        Malay,NA,3435,NA,1585,,1850,,3435,NA,1585,,1850,
Knowledge of languages,        Pampangan (Kapampangan; Pampango),NA,920,NA,420,,505,,920,NA,420,,505,
Knowledge of languages,        Pangasinan,NA,325,NA,130,,190,,325,NA,130,,190,
Knowledge of languages,        Tagalog (Pilipino; Filipino),NA,121155,NA,47540,,73620,,121155,NA,47540,,73620,
Knowledge of languages,        Waray-Waray,NA,220,NA,60,,160,,220,NA,60,,160,
Knowledge of languages,        Austronesian languages; n.i.e.,NA,895,NA,360,,535,,895,NA,360,,535,
Knowledge of languages,      Creole languages,NA,8845,NA,3795,,5050,,8845,NA,3795,,5050,
Knowledge of languages,        Haitian Creole,NA,455,NA,195,,265,,455,NA,195,,265,
Knowledge of languages,        Creole; n.o.s.,NA,4830,NA,2015,,2825,,4830,NA,2015,,2825,
Knowledge of languages,        Creole languages; n.i.e.,NA,3675,NA,1625,,2050,,3675,NA,1625,,2050,
Knowledge of languages,      Dravidian languages,NA,87340,NA,43525,,43815,,87340,NA,43525,,43815,
Knowledge of languages,        Kannada,NA,1610,NA,835,,775,,1610,NA,835,,775,
Knowledge of languages,        Malayalam,NA,6705,NA,3550,,3155,,6705,NA,3550,,3155,
Knowledge of languages,        Tamil,NA,74750,NA,36615,,38135,,74750,NA,36615,,38135,
Knowledge of languages,        Telugu,NA,6130,NA,3560,,2575,,6130,NA,3560,,2575,
Knowledge of languages,        Dravidian languages; n.i.e.,NA,160,NA,75,,80,,160,NA,75,,80,
Knowledge of languages,      Hmong-Mien languages,NA,15,NA,0,,10,,15,NA,0,,10,
Knowledge of languages,      Indo-European languages,NA,764770,NA,369530,,395235,,764770,NA,369530,,395235,
Knowledge of languages,        Albanian,NA,9905,NA,4880,,5025,,9905,NA,4880,,5025,
Knowledge of languages,        Armenian,NA,9630,NA,4560,,5070,,9630,NA,4560,,5070,
Knowledge of languages,        Balto-Slavic languages,NA,138380,NA,62970,,75405,,138380,NA,62970,,75405,
Knowledge of languages,          Baltic languages,NA,3910,NA,1540,,2370,,3910,NA,1540,,2370,
Knowledge of languages,            Latvian,NA,1765,NA,740,,1025,,1765,NA,740,,1025,
Knowledge of languages,            Lithuanian,NA,2145,NA,800,,1345,,2145,NA,800,,1345,
Knowledge of languages,          Slavic languages,NA,135365,NA,61790,,73575,,135365,NA,61790,,73575,
Knowledge of languages,            Belarusan,NA,470,NA,240,,225,,470,NA,240,,225,
Knowledge of languages,            Bosnian,NA,1960,NA,930,,1035,,1960,NA,930,,1035,
Knowledge of languages,            Bulgarian,NA,4860,NA,2340,,2525,,4860,NA,2340,,2525,
Knowledge of languages,            Croatian,NA,8555,NA,4140,,4415,,8555,NA,4140,,4415,
Knowledge of languages,            Czech,NA,3745,NA,1795,,1950,,3745,NA,1795,,1950,
Knowledge of languages,            Macedonian,NA,8245,NA,3855,,4390,,8245,NA,3855,,4390,
Knowledge of languages,            Polish,NA,30970,NA,13515,,17450,,30970,NA,13515,,17450,
Knowledge of languages,            Russian,NA,51045,NA,23150,,27890,,51045,NA,23150,,27890,
Knowledge of languages,            Serbian,NA,17025,NA,8365,,8660,,17025,NA,8365,,8660,
Knowledge of languages,            Serbo-Croatian,NA,1800,NA,850,,950,,1800,NA,850,,950,
Knowledge of languages,            Slovak,NA,3460,NA,1605,,1855,,3460,NA,1605,,1855,
Knowledge of languages,            Slovene (Slovenian),NA,2010,NA,890,,1120,,2010,NA,890,,1120,
Knowledge of languages,            Ukrainian,NA,21020,NA,9145,,11870,,21020,NA,9145,,11870,
Knowledge of languages,            Slavic languages; n.i.e.,NA,335,NA,205,,130,,335,NA,205,,130,
Knowledge of languages,        Celtic languages,NA,1355,NA,715,,640,,1355,NA,715,,640,
Knowledge of languages,          Scottish Gaelic,NA,395,NA,220,,180,,395,NA,220,,180,
Knowledge of languages,          Welsh,NA,140,NA,65,,80,,140,NA,65,,80,
Knowledge of languages,          Celtic languages; n.i.e.,NA,820,NA,440,,380,,820,NA,440,,380,
Knowledge of languages,        Germanic languages,NA,43080,NA,20695,,22385,,43080,NA,20695,,22385,
Knowledge of languages,          Afrikaans,NA,1670,NA,850,,820,,1670,NA,850,,820,
Knowledge of languages,          Danish,NA,1090,NA,485,,605,,1090,NA,485,,605,
Knowledge of languages,          Dutch,NA,4755,NA,2330,,2420,,4755,NA,2330,,2420,
Knowledge of languages,          Frisian,NA,75,NA,35,,40,,75,NA,35,,40,
Knowledge of languages,          German,NA,29980,NA,14340,,15640,,29980,NA,14340,,15640,
Knowledge of languages,          Icelandic,NA,100,NA,45,,55,,100,NA,45,,55,
Knowledge of languages,          Norwegian,NA,480,NA,240,,240,,480,NA,240,,240,
Knowledge of languages,          Swedish,NA,1630,NA,765,,865,,1630,NA,765,,865,
Knowledge of languages,          Vlaams (Flemish),NA,160,NA,65,,90,,160,NA,65,,90,
Knowledge of languages,          Yiddish,NA,4685,NA,2305,,2380,,4685,NA,2305,,2380,
Knowledge of languages,          Germanic languages; n.i.e.,NA,55,NA,25,,35,,55,NA,25,,35,
Knowledge of languages,        Greek,NA,40170,NA,19690,,20480,,40170,NA,19690,,20480,
Knowledge of languages,        Indo-Iranian languages,NA,254825,NA,130405,,124415,,254825,NA,130405,,124415,
Knowledge of languages,          Indo-Aryan languages,NA,193285,NA,99090,,94190,,193285,NA,99090,,94190,
Knowledge of languages,            Bengali,NA,35635,NA,18260,,17375,,35635,NA,18260,,17375,
Knowledge of languages,            Gujarati,NA,36180,NA,18650,,17530,,36180,NA,18650,,17530,
Knowledge of languages,            Hindi,NA,65360,NA,34355,,31005,,65360,NA,34355,,31005,
Knowledge of languages,            Kashmiri,NA,85,NA,40,,40,,85,NA,40,,40,
Knowledge of languages,            Konkani,NA,1500,NA,695,,810,,1500,NA,695,,810,
Knowledge of languages,            Marathi,NA,3230,NA,1630,,1600,,3230,NA,1630,,1600,
Knowledge of languages,            Nepali,NA,3925,NA,1945,,1975,,3925,NA,1945,,1975,
Knowledge of languages,            Oriya (Odia),NA,450,NA,220,,230,,450,NA,220,,230,
Knowledge of languages,            Punjabi (Panjabi),NA,33785,NA,17720,,16060,,33785,NA,17720,,16060,
Knowledge of languages,            Sindhi,NA,4185,NA,1950,,2235,,4185,NA,1950,,2235,
Knowledge of languages,            Sinhala (Sinhalese),NA,6860,NA,3390,,3470,,6860,NA,3390,,3470,
Knowledge of languages,            Urdu,NA,57675,NA,29285,,28390,,57675,NA,29285,,28390,
Knowledge of languages,          Iranian languages,NA,63765,NA,32345,,31420,,63765,NA,32345,,31420,
Knowledge of languages,            Kurdish,NA,2080,NA,1210,,870,,2080,NA,1210,,870,
Knowledge of languages,            Pashto,NA,6570,NA,3595,,2975,,6570,NA,3595,,2975,
Knowledge of languages,            Persian (Farsi),NA,57760,NA,29105,,28650,,57760,NA,29105,,28650,
Knowledge of languages,          Indo-Iranian languages; n.i.e.,NA,1515,NA,850,,665,,1515,NA,850,,665,
Knowledge of languages,        Italic (Romance) languages,NA,290570,NA,136505,,154065,,290570,NA,136505,,154065,
Knowledge of languages,          Catalan,NA,240,NA,125,,115,,240,NA,125,,115,
Knowledge of languages,          Italian,NA,91590,NA,42755,,48835,,91590,NA,42755,,48835,
Knowledge of languages,          Portuguese,NA,75785,NA,36510,,39270,,75785,NA,36510,,39270,
Knowledge of languages,          Romanian,NA,14620,NA,6580,,8045,,14620,NA,6580,,8045,
Knowledge of languages,          Spanish,NA,122195,NA,57080,,65115,,122195,NA,57080,,65115,
Knowledge of languages,          Italic (Romance) languages; n.i.e.,NA,440,NA,225,,220,,440,NA,225,,220,
Knowledge of languages,      Japanese,NA,12070,NA,5105,,6960,,12070,NA,5105,,6960,
Knowledge of languages,      Kartvelian languages,NA,1125,NA,575,,550,,1125,NA,575,,550,
Knowledge of languages,        Georgian,NA,1130,NA,570,,550,,1130,NA,570,,550,
Knowledge of languages,      Korean,NA,37610,NA,17455,,20155,,37610,NA,17455,,20155,
Knowledge of languages,      Mongolic languages,NA,345,NA,150,,195,,345,NA,150,,195,
Knowledge of languages,        Mongolian,NA,350,NA,155,,195,,350,NA,155,,195,
Knowledge of languages,      Niger-Congo languages,NA,26430,NA,12495,,13935,,26430,NA,12495,,13935,
Knowledge of languages,        Akan (Twi),NA,7000,NA,3215,,3785,,7000,NA,3215,,3785,
Knowledge of languages,        Bamanankan,NA,110,NA,75,,35,,110,NA,75,,35,
Knowledge of languages,        Edo,NA,1210,NA,500,,705,,1210,NA,500,,705,
Knowledge of languages,        Ewe,NA,265,NA,155,,110,,265,NA,155,,110,
Knowledge of languages,        Fulah (Pular; Pulaar; Fulfulde),NA,295,NA,150,,145,,295,NA,150,,145,
Knowledge of languages,        Ga,NA,475,NA,195,,280,,475,NA,195,,280,
Knowledge of languages,        Ganda,NA,585,NA,280,,305,,585,NA,280,,305,
Knowledge of languages,        Igbo,NA,1480,NA,765,,710,,1480,NA,765,,710,
Knowledge of languages,        Lingala,NA,1265,NA,540,,725,,1265,NA,540,,725,
Knowledge of languages,        Rundi (Kirundi),NA,400,NA,210,,185,,400,NA,210,,185,
Knowledge of languages,        Kinyarwanda (Rwanda),NA,460,NA,215,,250,,460,NA,215,,250,
Knowledge of languages,        Shona,NA,760,NA,350,,410,,760,NA,350,,410,
Knowledge of languages,        Swahili,NA,6210,NA,3000,,3210,,6210,NA,3000,,3210,
Knowledge of languages,        Wolof,NA,285,NA,135,,150,,285,NA,135,,150,
Knowledge of languages,        Yoruba,NA,3600,NA,1870,,1730,,3600,NA,1870,,1730,
Knowledge of languages,        Niger-Congo languages; n.i.e.,NA,3975,NA,1745,,2230,,3975,NA,1745,,2230,
Knowledge of languages,      Nilo-Saharan languages,NA,310,NA,170,,140,,310,NA,170,,140,
Knowledge of languages,        Dinka,NA,60,NA,35,,20,,60,NA,35,,20,
Knowledge of languages,        Nilo-Saharan languages; n.i.e.,NA,250,NA,130,,120,,250,NA,130,,120,
Knowledge of languages,      Sign languages,NA,3090,NA,1375,,1715,,3090,NA,1375,,1715,
Knowledge of languages,        American Sign Language,NA,1950,NA,765,,1185,,1950,NA,765,,1185,
Knowledge of languages,        Quebec Sign Language,NA,10,NA,0,,10,,10,NA,0,,10,
Knowledge of languages,        Sign languages; n.i.e.,NA,1195,NA,645,,545,,1195,NA,645,,545,
Knowledge of languages,      Sino-Tibetan languages,NA,279900,NA,129990,,149910,,279900,NA,129990,,149910,
Knowledge of languages,        Chinese languages,NA,273760,NA,126965,,146795,,273760,NA,126965,,146795,
Knowledge of languages,          Cantonese,NA,141260,NA,64620,,76645,,141260,NA,64620,,76645,
Knowledge of languages,          Hakka,NA,3035,NA,1265,,1775,,3035,NA,1265,,1775,
Knowledge of languages,          Mandarin,NA,150735,NA,69900,,80840,,150735,NA,69900,,80840,
Knowledge of languages,          Min Dong,NA,460,NA,205,,255,,460,NA,205,,255,
Knowledge of languages,          Min Nan (Chaochow; Teochow; Fukien; Taiwanese),NA,7235,NA,3195,,4045,,7235,NA,3195,,4045,
Knowledge of languages,          Wu (Shanghainese),NA,3225,NA,1490,,1735,,3225,NA,1490,,1735,
Knowledge of languages,          Chinese; n.o.s.,NA,7055,NA,3155,,3900,,7055,NA,3155,,3900,
Knowledge of languages,          Chinese languages; n.i.e.,NA,75,NA,50,,30,,75,NA,50,,30,
Knowledge of languages,        Tibeto-Burman languages,NA,6400,NA,3170,,3230,,6400,NA,3170,,3230,
Knowledge of languages,          Burmese,NA,885,NA,400,,485,,885,NA,400,,485,
Knowledge of languages,          Karenic languages,NA,250,NA,110,,130,,250,NA,110,,130,
Knowledge of languages,          Tibetan,NA,5045,NA,2515,,2525,,5045,NA,2515,,2525,
Knowledge of languages,          Tibeto-Burman languages; n.i.e.,NA,295,NA,170,,125,,295,NA,170,,125,
Knowledge of languages,      Tai-Kadai languages,NA,2205,NA,875,,1330,,2205,NA,875,,1330,
Knowledge of languages,        Lao,NA,850,NA,380,,465,,850,NA,380,,465,
Knowledge of languages,        Thai,NA,1455,NA,540,,915,,1455,NA,540,,915,
Knowledge of languages,        Tai-Kadai languages; n.i.e.,NA,15,NA,10,,10,,15,NA,10,,10,
Knowledge of languages,      Turkic languages,NA,15395,NA,8125,,7275,,15395,NA,8125,,7275,
Knowledge of languages,        Azerbaijani,NA,1465,NA,760,,710,,1465,NA,760,,710,
Knowledge of languages,        Turkish,NA,13000,NA,6905,,6090,,13000,NA,6905,,6090,
Knowledge of languages,        Uyghur,NA,320,NA,150,,170,,320,NA,150,,170,
Knowledge of languages,        Uzbek,NA,630,NA,345,,285,,630,NA,345,,285,
Knowledge of languages,        Turkic languages; n.i.e.,NA,380,NA,160,,220,,380,NA,160,,220,
Knowledge of languages,      Uralic languages,NA,17065,NA,7680,,9385,,17065,NA,7680,,9385,
Knowledge of languages,        Estonian,NA,1985,NA,855,,1130,,1985,NA,855,,1130,
Knowledge of languages,        Finnish,NA,1430,NA,585,,850,,1430,NA,585,,850,
Knowledge of languages,        Hungarian,NA,13700,NA,6260,,7445,,13700,NA,6260,,7445,
Knowledge of languages,        Uralic languages; n.i.e.,NA,0,NA,0,,0,,0,NA,0,,0,
Knowledge of languages,      Other languages; n.i.e.,NA,1315,NA,675,,635,,1315,NA,675,,635,
Citizenship,Total - Citizenship for the population in private households - 25% sample data,45,2691665,NA,1296270,,1395395,,2691665,NA,1296270,,1395395,
Citizenship,  Canadian citizens,46,2296370,NA,1108000,,1188365,,2296370,NA,1108000,,1188365,
Citizenship,    Canadian citizens aged under 18,NA,431655,NA,221480,,210180,,431655,NA,221480,,210180,
Citizenship,    Canadian citizens aged 18 and over,NA,1864710,NA,886525,,978190,,1864710,NA,886525,,978190,
Citizenship,  Not Canadian citizens,47,395295,NA,188270,,207025,,395295,NA,188270,,207025,
Immigrant status and period of immigration,Total - Immigrant status and period of immigration for the population in private households - 25% sample data,48,2691665,NA,1296270,,1395390,,2691665,NA,1296270,,1395390,
Immigrant status and period of immigration,  Non-immigrants,49,1332090,NA,665435,,666655,,1332090,NA,665435,,666655,
Immigrant status and period of immigration,  Immigrants,50,1266005,NA,583975,,682030,,1266005,NA,583975,,682030,
Immigrant status and period of immigration,    Before 1981,NA,294065,NA,133310,,160755,,294065,NA,133310,,160755,
Immigrant status and period of immigration,    1981 to 1990,NA,171565,NA,81205,,90365,,171565,NA,81205,,90365,
Immigrant status and period of immigration,    1991 to 2000,NA,281870,NA,127730,,154145,,281870,NA,127730,,154145,
Immigrant status and period of immigration,    2001 to 2010,NA,330550,NA,152950,,177600,,330550,NA,152950,,177600,
Immigrant status and period of immigration,      2001 to 2005,NA,162770,NA,75700,,87070,,162770,NA,75700,,87070,
Immigrant status and period of immigration,      2006 to 2010,NA,167780,NA,77250,,90530,,167780,NA,77250,,90530,
Immigrant status and period of immigration,    2011 to 2016,51,187950,NA,88780,,99170,,187950,NA,88780,,99170,
Immigrant status and period of immigration,  Non-permanent residents,52,93575,NA,46865,,46715,,93575,NA,46865,,46715,
Age at immigration,Total - Age at immigration for the immigrant population in private households - 25% sample data,53,1266000,NA,583975,,682030,,1266000,NA,583975,,682030,
Age at immigration,  Under 5 years,NA,96800,NA,47595,,49205,,96800,NA,47595,,49205,
Age at immigration,  5 to 14 years,NA,205920,NA,102700,,103215,,205920,NA,102700,,103215,
Age at immigration,  15 to 24 years,NA,270470,NA,120040,,150425,,270470,NA,120040,,150425,
Age at immigration,  25 to 44 years,NA,558625,NA,254865,,303760,,558625,NA,254865,,303760,
Age at immigration,  45 years and over,NA,134190,NA,58775,,75420,,134190,NA,58775,,75420,
Immigrants by selected place of birth,Total - Selected places of birth for the immigrant population in private households - 25% sample data,54,1266000,NA,583975,,682030,,1266000,NA,583975,,682030,
Immigrants by selected place of birth,  Americas,NA,212010,NA,92485,,119525,,212010,NA,92485,,119525,
Immigrants by selected place of birth,    Brazil,NA,7025,NA,3360,,3660,,7025,NA,3360,,3660,
Immigrants by selected place of birth,    Colombia,NA,8710,NA,3995,,4720,,8710,NA,3995,,4720,
Immigrants by selected place of birth,    El Salvador,NA,6960,NA,3500,,3460,,6960,NA,3500,,3460,
Immigrants by selected place of birth,    Guyana,NA,34490,NA,14700,,19790,,34490,NA,14700,,19790,
Immigrants by selected place of birth,    Haiti,NA,1855,NA,835,,1020,,1855,NA,835,,1020,
Immigrants by selected place of birth,    Jamaica,NA,45075,NA,18280,,26795,,45075,NA,18280,,26795,
Immigrants by selected place of birth,    Mexico,NA,7225,NA,3340,,3890,,7225,NA,3340,,3890,
Immigrants by selected place of birth,    Peru,NA,3865,NA,1725,,2145,,3865,NA,1725,,2145,
Immigrants by selected place of birth,    Trinidad and Tobago,NA,19640,NA,8305,,11330,,19640,NA,8305,,11330,
Immigrants by selected place of birth,    United States,55,24530,NA,11480,,13050,,24530,NA,11480,,13050,
Immigrants by selected place of birth,    Other places of birth in Americas,NA,52630,NA,22965,,29665,,52630,NA,22965,,29665,
Immigrants by selected place of birth,  Europe,NA,298270,NA,139045,,159220,,298270,NA,139045,,159220,
Immigrants by selected place of birth,    Bosnia and Herzegovina,NA,5125,NA,2445,,2685,,5125,NA,2445,,2685,
Immigrants by selected place of birth,    Croatia,NA,4680,NA,2195,,2475,,4680,NA,2195,,2475,
Immigrants by selected place of birth,    France,NA,4585,NA,2175,,2410,,4585,NA,2175,,2410,
Immigrants by selected place of birth,    Germany,NA,11090,NA,5220,,5870,,11090,NA,5220,,5870,
Immigrants by selected place of birth,    Greece,NA,19235,NA,9185,,10050,,19235,NA,9185,,10050,
Immigrants by selected place of birth,    Hungary,NA,7860,NA,3580,,4280,,7860,NA,3580,,4280,
Immigrants by selected place of birth,    Ireland,56,4625,NA,2400,,2225,,4625,NA,2400,,2225,
Immigrants by selected place of birth,    Italy,NA,45515,NA,21350,,24165,,45515,NA,21350,,24165,
Immigrants by selected place of birth,    Netherlands,NA,2690,NA,1355,,1335,,2690,NA,1355,,1335,
Immigrants by selected place of birth,    Poland,NA,21360,NA,9265,,12100,,21360,NA,9265,,12100,
Immigrants by selected place of birth,    Portugal,NA,38575,NA,18485,,20090,,38575,NA,18485,,20090,
Immigrants by selected place of birth,    Romania,NA,12875,NA,5690,,7185,,12875,NA,5690,,7185,
Immigrants by selected place of birth,    Russian Federation,NA,16225,NA,6755,,9470,,16225,NA,6755,,9470,
Immigrants by selected place of birth,    Serbia,57,8525,NA,4095,,4430,,8525,NA,4095,,4430,
Immigrants by selected place of birth,    Ukraine,NA,15775,NA,7075,,8705,,15775,NA,7075,,8705,
Immigrants by selected place of birth,    United Kingdom,58,40295,NA,19425,,20870,,40295,NA,19425,,20870,
Immigrants by selected place of birth,    Other places of birth in Europe,NA,39225,NA,18350,,20880,,39225,NA,18350,,20880,
Immigrants by selected place of birth,  Africa,NA,77445,NA,36520,,40925,,77445,NA,36520,,40925,
Immigrants by selected place of birth,    Algeria,NA,770,NA,435,,335,,770,NA,435,,335,
Immigrants by selected place of birth,    Egypt,NA,6620,NA,3490,,3130,,6620,NA,3490,,3130,
Immigrants by selected place of birth,    Ethiopia,NA,9080,NA,4095,,4985,,9080,NA,4095,,4985,
Immigrants by selected place of birth,    Kenya,NA,4880,NA,2195,,2685,,4880,NA,2195,,2685,
Immigrants by selected place of birth,    Morocco,NA,1850,NA,885,,965,,1850,NA,885,,965,
Immigrants by selected place of birth,    Nigeria,NA,7605,NA,3780,,3830,,7605,NA,3780,,3830,
Immigrants by selected place of birth,    Somalia,NA,9025,NA,3605,,5410,,9025,NA,3605,,5410,
Immigrants by selected place of birth,    South Africa; Republic of,NA,5560,NA,2710,,2845,,5560,NA,2710,,2845,
Immigrants by selected place of birth,    Other places of birth in Africa,NA,32055,NA,15320,,16740,,32055,NA,15320,,16740,
Immigrants by selected place of birth,  Asia,NA,674495,NA,314010,,360485,,674495,NA,314010,,360485,
Immigrants by selected place of birth,    Afghanistan,NA,12740,NA,6455,,6285,,12740,NA,6455,,6285,
Immigrants by selected place of birth,    Bangladesh,NA,25100,NA,12730,,12365,,25100,NA,12730,,12365,
Immigrants by selected place of birth,    China,59,131475,NA,59275,,72205,,131475,NA,59275,,72205,
Immigrants by selected place of birth,    Hong Kong,60,38820,NA,17855,,20965,,38820,NA,17855,,20965,
Immigrants by selected place of birth,    India,NA,79225,NA,40115,,39110,,79225,NA,40115,,39110,
Immigrants by selected place of birth,    Iran,61,36445,NA,18300,,18145,,36445,NA,18300,,18145,
Immigrants by selected place of birth,    Iraq,NA,11135,NA,5490,,5645,,11135,NA,5490,,5645,
Immigrants by selected place of birth,    Japan,NA,3985,NA,1260,,2725,,3985,NA,1260,,2725,
Immigrants by selected place of birth,    Korea; South,62,26835,NA,12330,,14500,,26835,NA,12330,,14500,
Immigrants by selected place of birth,    Lebanon,NA,6010,NA,3350,,2660,,6010,NA,3350,,2660,
Immigrants by selected place of birth,    Pakistan,NA,34750,NA,17535,,17215,,34750,NA,17535,,17215,
Immigrants by selected place of birth,    Philippines,NA,118780,NA,47820,,70955,,118780,NA,47820,,70955,
Immigrants by selected place of birth,    Sri Lanka,NA,52900,NA,25740,,27160,,52900,NA,25740,,27160,
Immigrants by selected place of birth,    Syria,63,5575,NA,2790,,2785,,5575,NA,2790,,2785,
Immigrants by selected place of birth,    Taiwan,NA,7695,NA,3320,,4375,,7695,NA,3320,,4375,
Immigrants by selected place of birth,    Viet Nam,NA,30575,NA,13725,,16850,,30575,NA,13725,,16850,
Immigrants by selected place of birth,    Other places of birth in Asia,NA,52450,NA,25925,,26530,,52450,NA,25925,,26530,
Immigrants by selected place of birth,  Oceania and other places of birth,64,3785,NA,1910,,1870,,3785,NA,1910,,1870,
Recent immigrants by selected places of birth,Total - Selected places of birth for the recent immigrant population in private households - 25% sample data,54,187950,NA,88780,,99170,,187950,NA,88780,,99170,
Recent immigrants by selected places of birth,  Americas,NA,23850,NA,11210,,12635,,23850,NA,11210,,12635,
Recent immigrants by selected places of birth,    Brazil,NA,1915,NA,930,,980,,1915,NA,930,,980,
Recent immigrants by selected places of birth,    Colombia,NA,1430,NA,670,,760,,1430,NA,670,,760,
Recent immigrants by selected places of birth,    Cuba,NA,770,NA,345,,430,,770,NA,345,,430,
Recent immigrants by selected places of birth,    Haiti,NA,680,NA,315,,360,,680,NA,315,,360,
Recent immigrants by selected places of birth,    Jamaica,NA,3530,NA,1840,,1685,,3530,NA,1840,,1685,
Recent immigrants by selected places of birth,    Mexico,NA,2065,NA,995,,1070,,2065,NA,995,,1070,
Recent immigrants by selected places of birth,    United States,55,4015,NA,2085,,1925,,4015,NA,2085,,1925,
Recent immigrants by selected places of birth,    Venezuela,65,1055,NA,480,,575,,1055,NA,480,,575,
Recent immigrants by selected places of birth,    Other places of birth in Americas,NA,8390,NA,3540,,4845,,8390,NA,3540,,4845,
Recent immigrants by selected places of birth,  Europe,NA,20260,NA,10240,,10025,,20260,NA,10240,,10025,
Recent immigrants by selected places of birth,    France,NA,1140,NA,560,,585,,1140,NA,560,,585,
Recent immigrants by selected places of birth,    Germany,NA,625,NA,345,,285,,625,NA,345,,285,
Recent immigrants by selected places of birth,    Ireland,56,1220,NA,780,,440,,1220,NA,780,,440,
Recent immigrants by selected places of birth,    Moldova,66,400,NA,180,,220,,400,NA,180,,220,
Recent immigrants by selected places of birth,    Romania,NA,860,NA,355,,505,,860,NA,355,,505,
Recent immigrants by selected places of birth,    Russian Federation,NA,2290,NA,835,,1460,,2290,NA,835,,1460,
Recent immigrants by selected places of birth,    Ukraine,NA,1930,NA,905,,1025,,1930,NA,905,,1025,
Recent immigrants by selected places of birth,    United Kingdom,58,2120,NA,1375,,740,,2120,NA,1375,,740,
Recent immigrants by selected places of birth,    Other places of birth in Europe,NA,9680,NA,4915,,4760,,9680,NA,4915,,4760,
Recent immigrants by selected places of birth,  Africa,NA,13300,NA,6380,,6920,,13300,NA,6380,,6920,
Recent immigrants by selected places of birth,    Algeria,NA,130,NA,50,,80,,130,NA,50,,80,
Recent immigrants by selected places of birth,    Cameroon,NA,555,NA,240,,315,,555,NA,240,,315,
Recent immigrants by selected places of birth,    Congo; Democratic Republic of the,NA,325,NA,135,,195,,325,NA,135,,195,
Recent immigrants by selected places of birth,    Côte d'Ivoire,NA,170,NA,70,,95,,170,NA,70,,95,
Recent immigrants by selected places of birth,    Egypt,NA,1350,NA,690,,660,,1350,NA,690,,660,
Recent immigrants by selected places of birth,    Eritrea,NA,970,NA,485,,485,,970,NA,485,,485,
Recent immigrants by selected places of birth,    Ethiopia,NA,1555,NA,710,,845,,1555,NA,710,,845,
Recent immigrants by selected places of birth,    Morocco,NA,210,NA,100,,110,,210,NA,100,,110,
Recent immigrants by selected places of birth,    Nigeria,NA,2550,NA,1235,,1310,,2550,NA,1235,,1310,
Recent immigrants by selected places of birth,    Somalia,NA,1010,NA,480,,530,,1010,NA,480,,530,
Recent immigrants by selected places of birth,    South Africa; Republic of,NA,395,NA,230,,170,,395,NA,230,,170,
Recent immigrants by selected places of birth,    Tunisia,NA,85,NA,55,,30,,85,NA,55,,30,
Recent immigrants by selected places of birth,    Other places of birth in Africa,NA,3985,NA,1900,,2090,,3985,NA,1900,,2090,
Recent immigrants by selected places of birth,  Asia,NA,129695,NA,60415,,69275,,129695,NA,60415,,69275,
Recent immigrants by selected places of birth,    Afghanistan,NA,3170,NA,1630,,1535,,3170,NA,1630,,1535,
Recent immigrants by selected places of birth,    Bangladesh,NA,5795,NA,2870,,2920,,5795,NA,2870,,2920,
